,word,actual_frequency,relative_frequency,zipf_frequency,difference_actual,difference_percent
0,the,71,1/1,71.0,0.0,100.0
1,to,37,1/2,35.5,1.5,104.22535211267605
2,and,36,1/3,23.666666666666664,12.333333333333336,152.11267605633805
3,of,30,1/4,17.75,12.25,169.01408450704224
4,that,28,1/5,14.200000000000001,13.799999999999999,197.18309859154928
5,a,18,1/6,11.833333333333332,6.166666666666668,152.11267605633805
6,it,17,1/7,10.142857142857142,6.857142857142858,167.6056338028169
7,in,16,1/8,8.875,7.125,180.2816901408451
8,we,16,1/9,7.888888888888888,8.11111111111111,202.8169014084507
9,for,15,1/10,7.1000000000000005,7.8999999999999995,211.26760563380282
10,war,14,1/11,6.454545454545455,7.545454545454545,216.9014084507042
11,this,13,1/12,5.916666666666666,7.083333333333334,219.71830985915494
12,be,12,1/13,5.461538461538462,6.538461538461538,219.7183098591549
13,which,12,1/14,5.071428571428571,6.928571428571429,236.61971830985914
14,all,12,1/15,4.733333333333333,7.266666666666667,253.5211267605634
15,with,12,1/16,4.4375,7.5625,270.4225352112676
16,not,11,1/17,4.176470588235294,6.823529411764706,263.38028169014086
17,is,10,1/18,3.944444444444444,6.055555555555555,253.5211267605634
18,have,10,1/19,3.7368421052631575,6.2631578947368425,267.60563380281695
19,here,10,1/20,3.5500000000000003,6.449999999999999,281.6901408450704
20,i,9,1/21,3.380952380952381,5.619047619047619,266.19718309859155
21,shall,8,1/22,3.2272727272727275,4.7727272727272725,247.88732394366195
22,nation,7,1/23,3.0869565217391304,3.9130434782608696,226.7605633802817
23,as,7,1/24,2.958333333333333,4.041666666666667,236.6197183098592
24,by,7,1/25,2.84,4.16,246.47887323943664
25,but,7,1/26,2.730769230769231,4.269230769230769,256.3380281690141
26,us,7,1/27,2.6296296296296293,4.37037037037037,266.1971830985916
27,can,7,1/28,2.5357142857142856,4.464285714285714,276.056338028169
28,from,6,1/29,2.4482758620689653,3.5517241379310347,245.0704225352113
29,god,6,1/30,2.3666666666666667,3.6333333333333333,253.5211267605634
30,his,6,1/31,2.290322580645161,3.709677419354839,261.9718309859155
31,who,6,1/32,2.21875,3.78125,270.4225352112676
32,address,5,1/33,2.1515151515151514,2.8484848484848486,232.3943661971831
33,an,5,1/34,2.088235294117647,2.911764705882353,239.43661971830986
34,than,5,1/35,2.0285714285714285,2.9714285714285715,246.47887323943664
35,was,5,1/36,1.972222222222222,3.0277777777777777,253.5211267605634
36,years,5,1/37,1.918918918918919,3.0810810810810807,260.5633802816901
37,one,5,1/38,1.8684210526315788,3.1315789473684212,267.60563380281695
38,let,5,1/39,1.8205128205128205,3.1794871794871797,274.6478873239437
39,do,5,1/40,1.7750000000000001,3.2249999999999996,281.6901408450704
40,or,5,1/41,1.7317073170731707,3.2682926829268295,288.7323943661972
41,are,5,1/42,1.6904761904761905,3.3095238095238093,295.77464788732397
42,at,4,1/43,1.6511627906976745,2.3488372093023253,242.25352112676055
43,now,4,1/44,1.6136363636363638,2.3863636363636362,247.88732394366195
44,on,4,1/45,1.577777777777778,2.422222222222222,253.52112676056336
45,every,4,1/46,1.5434782608695652,2.4565217391304346,259.1549295774648
46,great,4,1/47,1.5106382978723405,2.4893617021276597,264.7887323943662
47,union,4,1/48,1.4791666666666665,2.5208333333333335,270.42253521126764
48,both,4,1/49,1.4489795918367345,2.5510204081632653,276.056338028169
49,rather,4,1/50,1.42,2.58,281.69014084507046
50,these,4,1/51,1.392156862745098,2.607843137254902,287.32394366197184
51,may,4,1/52,1.3653846153846154,2.6346153846153846,292.9577464788733
52,those,4,1/53,1.3396226415094339,2.660377358490566,298.59154929577466
53,him,4,1/54,1.3148148148148147,2.685185185185185,304.2253521126761
54,will,4,1/55,1.2909090909090908,2.709090909090909,309.85915492957747
55,so,4,1/56,1.2678571428571428,2.732142857142857,315.4929577464789
56,dedicated,4,1/57,1.2456140350877192,2.754385964912281,321.1267605633803
57,people,4,1/58,1.2241379310344827,2.7758620689655173,326.7605633802817
58,my,4,1/59,1.2033898305084745,2.7966101694915255,332.39436619718316
59,you,4,1/60,1.1833333333333333,2.8166666666666664,338.0281690140845
60,four,3,1/61,1.1639344262295082,1.8360655737704918,257.7464788732394
61,been,3,1/62,1.1451612903225805,1.8548387096774195,261.9718309859155
62,new,3,1/63,1.126984126984127,1.873015873015873,266.19718309859155
63,our,3,1/64,1.109375,1.890625,270.4225352112676
64,upon,3,1/65,1.0923076923076924,1.9076923076923076,274.6478873239437
65,hope,3,1/66,1.0757575757575757,1.9242424242424243,278.87323943661977
66,no,3,1/67,1.0597014925373134,1.9402985074626866,283.0985915492958
67,ago,3,1/68,1.0441176470588236,1.9558823529411764,287.3239436619718
68,were,3,1/69,1.0289855072463767,1.9710144927536233,291.5492957746479
69,place,3,1/70,1.0142857142857142,1.9857142857142858,295.77464788732397
70,altogether,3,1/71,1.0,2.0,300.0
71,without,3,1/72,0.986111111111111,2.013888888888889,304.2253521126761
72,would,3,1/73,0.9726027397260273,2.0273972602739727,308.4507042253521
73,other,3,1/74,0.9594594594594595,2.0405405405405403,312.67605633802816
74,interest,3,1/75,0.9466666666666668,2.0533333333333332,316.9014084507042
75,cause,3,1/76,0.9342105263157894,2.0657894736842106,321.1267605633803
76,right,3,1/77,0.9220779220779222,2.0779220779220777,325.3521126760563
77,neither,3,1/78,0.9102564102564102,2.08974358974359,329.5774647887324
78,has,3,1/79,0.8987341772151899,2.1012658227848102,333.80281690140845
79,before,3,1/80,0.8875000000000001,2.1125,338.0281690140845
80,should,3,1/81,0.8765432098765431,2.123456790123457,342.2535211267606
81,any,3,1/82,0.8658536585365854,2.1341463414634148,346.4788732394366
82,men,3,1/83,0.855421686746988,2.144578313253012,350.70422535211264
83,assistance,3,1/84,0.8452380952380952,2.1547619047619047,354.92957746478874
84,woe,3,1/85,0.8352941176470589,2.164705882352941,359.15492957746477
85,offences,3,1/86,0.8255813953488372,2.1744186046511627,363.38028169014086
86,must,3,1/87,0.8160919540229885,2.1839080459770113,367.6056338028169
87,come,3,1/88,0.8068181818181819,2.1931818181818183,371.83098591549293
88,living,3,1/89,0.797752808988764,2.202247191011236,376.056338028169
89,dead,3,1/90,0.788888888888889,2.2111111111111112,380.281690140845
90,they,3,1/91,0.7802197802197803,2.21978021978022,384.50704225352104
91,me,3,1/92,0.7717391304347826,2.2282608695652173,388.7323943661972
92,second,2,1/93,0.7634408602150539,1.236559139784946,261.97183098591546
93,washington,2,1/94,0.7553191489361702,1.2446808510638299,264.7887323943662
94,take,2,1/95,0.7473684210526316,1.2526315789473683,267.6056338028169
95,there,2,1/96,0.7395833333333333,1.2604166666666667,270.42253521126764
96,less,2,1/97,0.7319587628865979,1.268041237113402,273.23943661971833
97,occasion,2,1/98,0.7244897959183673,1.2755102040816326,276.056338028169
98,fitting,2,1/99,0.7171717171717172,1.2828282828282829,278.8732394366197
99,proper,2,1/100,0.71,1.29,281.69014084507046
100,public,2,1/101,0.7029702970297029,1.297029702970297,284.50704225352115
101,forth,2,1/102,0.696078431372549,1.303921568627451,287.32394366197184
102,still,2,1/103,0.6893203883495145,1.3106796116504855,290.1408450704226
103,little,2,1/104,0.6826923076923077,1.3173076923076923,292.9577464788733
104,could,2,1/105,0.6761904761904762,1.3238095238095238,295.7746478873239
105,well,2,1/106,0.6698113207547169,1.330188679245283,298.59154929577466
106,civil,2,1/107,0.6635514018691588,1.3364485981308412,301.40845070422534
107,while,2,1/108,0.6574074074074073,1.3425925925925926,304.2253521126761
108,sic,2,1/109,0.6513761467889909,1.348623853211009,307.0422535211267
109,being,2,1/110,0.6454545454545454,1.3545454545454545,309.85915492957747
110,seeking,2,1/111,0.6396396396396397,1.3603603603603602,312.67605633802816
111,perish,2,1/112,0.6339285714285714,1.3660714285714286,315.4929577464789
112,came,2,1/113,0.6283185840707964,1.3716814159292037,318.3098591549296
113,slaves,2,1/114,0.6228070175438596,1.3771929824561404,321.1267605633803
114,even,2,1/115,0.6173913043478261,1.382608695652174,323.943661971831
115,government,2,1/116,0.6120689655172413,1.3879310344827587,326.7605633802817
116,conflict,2,1/117,0.6068376068376069,1.393162393162393,329.57746478873236
117,might,2,1/118,0.6016949152542372,1.3983050847457628,332.39436619718316
118,cease,2,1/119,0.5966386554621849,1.403361344537815,335.2112676056338
119,each,2,1/120,0.5916666666666667,1.4083333333333332,338.0281690140845
120,same,2,1/121,0.5867768595041323,1.4132231404958677,340.8450704225352
121,just,2,1/122,0.5819672131147541,1.418032786885246,343.6619718309859
122,their,2,1/123,0.5772357723577236,1.4227642276422765,346.4788732394366
123,prayers,2,1/124,0.5725806451612903,1.4274193548387097,349.29577464788736
124,answered,2,1/125,0.5680000000000001,1.432,352.112676056338
125,world,2,1/126,0.5634920634920635,1.4365079365079365,354.92957746478874
126,needs,2,1/127,0.5590551181102362,1.4409448818897639,357.7464788732394
127,man,2,1/128,0.5546875,1.4453125,360.5633802816902
128,whom,2,1/129,0.5503875968992248,1.449612403100775,363.38028169014086
129,offence,2,1/130,0.5461538461538462,1.4538461538461538,366.1971830985915
130,if,2,1/131,0.5419847328244275,1.4580152671755724,369.01408450704224
131,he,2,1/132,0.5378787878787878,1.4621212121212122,371.830985915493
132,gives,2,1/133,0.5338345864661653,1.4661654135338347,374.64788732394373
133,divine,2,1/134,0.5298507462686567,1.4701492537313432,377.46478873239437
134,yet,2,1/135,0.5259259259259259,1.474074074074074,380.2816901408451
135,until,2,1/136,0.5220588235294118,1.4779411764705883,383.09859154929575
136,drawn,2,1/137,0.5182481751824818,1.4817518248175183,385.91549295774644
